step,scf_accuracy_ry
1,2.33015669
2,1.70686942
3,0.27628994
4,0.84747056
5,0.87032764
6,0.92141856
7,0.9433512
8,1.46443843
9,1.54321267
10,1.56013377
11,1.51667048
12,1.2160752
13,1.40518985
14,0.77288008
15,0.61824459
16,0.21853601
17,0.15818658
18,0.1164616
19,0.05204684
20,0.03094865
21,0.02430097
22,0.0238413
23,0.00570402
24,0.00463814
25,0.00102806
26,0.00300704
27,0.00099897
28,0.00051157
29,0.00031595
30,0.00012304
31,9.38e-05
32,5.104e-05
33,4.758e-05
34,6.344e-05
35,2.852e-05
36,2.61e-06
37,8.03e-06
38,2.76e-06
39,1.88e-06
40,5.7e-07
41,2.69e-06
42,3.7e-07
43,1.1e-07
1,0.00057986
2,0.0004342
3,0.00021173
4,0.00029602
5,0.00028161
6,3.164e-05
7,2.782e-05
8,5.266e-05
9,2.82e-06
10,7.3e-06
11,8.19e-06
12,1.6e-07
1,0.00022609
2,0.00016784
3,2.967e-05
4,2.871e-05
5,4.568e-05
6,0.00027616
7,9.317e-05
8,8.516e-05
9,2.257e-05
10,3e-07
11,4.2e-07
12,1.07e-06
13,2.7e-06
14,1.74e-06
15,3.4e-07
16,2.5e-07
17,1e-08
1,2.407e-05
2,1.796e-05
3,5.78e-06
4,6.87e-06
5,9.18e-06
6,9.81e-06
7,1.085e-05
8,1.005e-05
9,3.451e-05
10,4.022e-05
11,5.929e-05
12,4.527e-05
13,8.67e-06
14,7.76e-06
15,5.15e-06
16,5.29e-06
17,5.49e-06
18,5.61e-06
19,5.61e-06
20,5.11e-06
21,2.17e-06
22,3.29e-06
23,2.2e-07
24,2.5e-07
25,2.6e-07
26,3e-07
27,2.4e-07
28,2.1e-07
29,1.4e-07
30,1.3e-07
31,8e-08
32,3e-08
33,4e-08
34,3e-08
35,5.4e-09
1,2.898e-05
2,2.223e-05
3,6.3e-06
4,6.39e-06
5,9.62e-06
6,1.17e-06
7,1.268e-05
8,1.168e-05
9,1.435e-05
10,2.94e-06
11,2.41e-06
12,1.1e-07
13,4e-08
14,2.9e-07
15,2.5e-07
16,4e-08
17,2e-08
18,2e-08
19,2.6e-09
20,7.6e-10
1,3.91e-05
2,3.016e-05
3,5.04e-06
4,8.63e-06
5,1.252e-05
6,5.35e-06
7,1.601e-05
8,1.745e-05
9,1.81e-05
10,1.896e-05
11,1.959e-05
12,6.03e-06
13,1.54e-06
14,5.1e-07
15,3.7e-07
16,2.7e-07
17,1.31e-06
18,8.2e-07
19,3e-08
20,2e-08
21,5.5e-09
22,6e-08
23,1.9e-09
1,1.195e-05
2,9.35e-06
3,1.49e-06
4,1.68e-06
5,2.7e-06
6,1.23e-06
7,6.9e-07
8,9.6e-07
9,1.1e-07
10,2.9e-07
11,2.6e-07
12,2.2e-07
13,8.9e-09
14,4.8e-09
