step,energy_ry
43,-283.03393596
12,-283.03348012
17,-283.03421216
35,-283.03431164
20,-283.03441018
23,-283.03447788
16,-283.03451367
17,-283.03456589
13,-283.03462142
21,-283.03469878
17,-283.03479598
33,-283.03490014
19,-283.03496543
20,-283.03500989
22,-283.03506734
29,-283.03514372
30,-283.03520606
30,-283.03528345
26,-283.03534686
30,-283.03540737
20,-283.03546658
22,-283.03554587
32,-283.03561705
32,-283.03567347
24,-283.03571039
24,-283.03573461
25,-283.03575101
20,-283.03576745
23,-283.03578039
15,-283.03579474
17,-283.03580909
21,-283.03582365
18,-283.03583836
20,-283.03585272
18,-283.03586671
23,-283.03587924
15,-283.03589134
19,-283.03590654
25,-283.03592444
30,-283.03594295
22,-283.03596367
30,-283.03598393
25,-283.03600623
22,-283.0360247
30,-283.03603801
28,-283.03604785
24,-283.03605641
28,-283.03606734
21,-283.03607853
31,-283.03609036
20,-283.03610444
21,-283.03611612
24,-283.03612437
17,-283.03613148
