step,total_magnetization_bohr_cell
1,88.37
2,94.15
3,87.88
4,90.33
5,69.66
6,63.43
7,57.41
8,52.72
9,46.18
10,41.29
11,41.0
12,41.14
13,41.75
14,41.67
15,40.17
16,39.78
17,39.68
18,39.54
19,39.34
20,39.32
21,39.17
22,39.09
23,39.05
24,39.07
25,39.12
26,39.15
27,39.17
28,39.22
29,39.29
30,39.34
31,39.34
32,39.33
33,39.34
34,39.34
35,39.37
36,39.38
37,39.38
38,39.39
39,39.4
40,39.4
41,39.42
42,39.43
43,39.43
44,39.43
45,39.43
46,39.43
47,39.43
48,39.43
49,39.43
50,39.42
51,39.42
52,39.42
53,39.41
54,39.4
55,39.4
56,39.39
57,39.39
58,39.39
59,39.39
60,39.38
61,39.38
62,39.38
63,39.37
64,39.37
65,39.37
66,39.37
67,39.37
68,39.37
69,39.37
70,39.36
71,39.36
72,39.36
73,39.36
74,39.36
75,39.36
76,39.36
77,39.36
78,39.36
79,39.36
80,39.36
81,39.36
82,39.36
83,39.36
84,39.36
85,39.36
86,39.37
87,39.37
1,39.31
2,39.4
3,39.38
4,39.35
5,39.37
6,39.38
7,39.37
8,39.38
9,39.36
10,39.37
11,39.37
12,39.37
13,39.37
14,39.37
15,39.37
16,39.37
17,39.37
18,39.37
19,39.37
20,39.37
21,39.37
22,39.37
23,39.37
24,39.37
25,39.37
26,39.37
27,39.37
28,39.37
29,39.37
30,39.37
31,39.37
32,39.37
1,39.31
2,39.42
3,39.38
4,39.35
5,39.39
6,39.39
7,39.38
8,39.4
9,39.38
10,39.39
11,39.39
12,39.39
13,39.39
14,39.39
15,39.39
16,39.39
17,39.39
18,39.39
19,39.39
20,39.39
21,39.39
22,39.39
23,39.39
24,39.39
25,39.39
26,39.39
27,39.39
28,39.39
29,39.4
30,39.4
31,39.4
32,39.4
33,39.4
34,39.4
35,39.4
36,39.4
37,39.4
38,39.4
39,39.4
40,39.4
41,39.4
42,39.4
43,39.4
44,39.4
45,39.4
46,39.4
1,39.35
2,39.42
3,39.4
4,39.38
5,39.4
6,39.42
7,39.41
8,39.43
9,39.41
10,39.41
11,39.41
12,39.41
13,39.41
14,39.41
15,39.42
16,39.41
17,39.42
18,39.41
19,39.42
20,39.42
21,39.42
22,39.42
23,39.42
24,39.42
25,39.42
26,39.42
27,39.42
28,39.42
29,39.42
30,39.42
31,39.42
32,39.42
33,39.42
34,39.42
35,39.42
36,39.42
37,39.42
38,39.42
39,39.42
40,39.42
1,39.34
2,39.44
3,39.42
4,39.39
5,39.42
6,39.44
7,39.43
8,39.46
9,39.43
10,39.43
11,39.43
12,39.43
13,39.43
14,39.44
15,39.43
16,39.44
17,39.44
18,39.44
19,39.44
20,39.44
21,39.44
22,39.44
23,39.44
24,39.44
25,39.44
26,39.44
27,39.44
28,39.44
29,39.44
30,39.44
31,39.44
32,39.44
33,39.44
34,39.44
35,39.44
36,39.44
37,39.44
38,39.44
39,39.44
40,39.44
41,39.44
42,39.44
43,39.44
44,39.44
45,39.44
46,39.44
47,39.44
1,39.33
2,39.45
3,39.45
4,39.4
5,39.42
6,39.46
7,39.44
8,39.47
9,39.44
10,39.44
11,39.45
12,39.44
13,39.44
14,39.45
15,39.45
16,39.45
17,39.45
18,39.45
19,39.45
20,39.45
21,39.45
22,39.45
23,39.45
24,39.45
25,39.45
26,39.45
27,39.45
28,39.45
29,39.45
30,39.45
31,39.45
32,39.45
33,39.45
34,39.45
35,39.45
36,39.45
37,39.45
38,39.45
39,39.45
40,39.45
41,39.45
42,39.46
43,39.46
44,39.46
45,39.46
46,39.46
47,39.46
48,39.46
49,39.46
50,39.46
1,39.4
2,39.46
3,39.45
4,39.43
5,39.44
6,39.45
7,39.44
8,39.45
9,39.44
10,39.44
11,39.44
12,39.44
13,39.44
14,39.44
15,39.44
16,39.44
17,39.44
18,39.44
19,39.44
20,39.44
21,39.44
22,39.44
23,39.44
24,39.44
25,39.44
26,39.44
27,39.44
28,39.44
29,39.44
30,39.44
31,39.44
32,39.44
33,39.44
34,39.44
35,39.44
36,39.44
37,39.44
38,39.44
1,39.38
2,39.44
3,39.43
4,39.39
5,39.41
6,39.42
7,39.42
8,39.42
9,39.41
10,39.41
11,39.41
12,39.41
13,39.41
14,39.41
15,39.41
16,39.41
17,39.41
18,39.41
19,39.41
20,39.41
21,39.41
22,39.41
23,39.41
24,39.41
25,39.41
26,39.41
27,39.4
28,39.4
29,39.4
30,39.4
31,39.4
32,39.4
33,39.4
34,39.4
35,39.4
36,39.4
37,39.4
38,39.4
39,39.4
40,39.4
41,39.4
1,39.37
2,39.4
3,39.4
4,39.38
5,39.39
6,39.39
7,39.39
8,39.39
9,39.39
10,39.39
11,39.39
12,39.39
13,39.39
14,39.39
15,39.39
16,39.39
17,39.39
18,39.39
19,39.39
20,39.38
21,39.38
22,39.38
23,39.38
24,39.38
25,39.38
26,39.38
27,39.38
28,39.38
29,39.38
30,39.38
31,39.38
32,39.38
33,39.38
34,39.38
35,39.38
36,39.38
37,39.38
38,39.38
39,39.38
40,39.38
41,39.38
1,39.35
2,39.38
3,39.38
4,39.36
5,39.37
6,39.38
7,39.37
8,39.37
9,39.37
10,39.37
11,39.37
12,39.37
13,39.37
14,39.37
15,39.37
16,39.37
17,39.37
18,39.37
19,39.37
20,39.37
21,39.37
22,39.37
23,39.37
24,39.37
25,39.37
26,39.37
27,39.37
28,39.37
29,39.37
30,39.37
31,39.37
32,39.37
33,39.37
34,39.37
35,39.37
36,39.37
37,39.37
38,39.37
39,39.37
40,39.37
41,39.37
42,39.36
43,39.36
44,39.36
45,39.36
1,39.35
2,39.37
3,39.36
4,39.36
5,39.36
6,39.37
7,39.36
8,39.37
9,39.36
10,39.36
11,39.36
12,39.36
13,39.36
14,39.36
15,39.36
16,39.36
17,39.36
18,39.36
19,39.36
20,39.36
21,39.36
22,39.36
23,39.36
24,39.36
25,39.36
26,39.36
27,39.36
28,39.36
29,39.36
30,39.36
31,39.36
32,39.36
33,39.36
34,39.36
35,39.36
36,39.36
1,39.37
2,39.37
3,39.37
4,39.37
5,39.37
6,39.37
7,39.37
8,39.37
9,39.37
10,39.37
11,39.37
12,39.37
13,39.37
14,39.37
15,39.37
16,39.37
17,39.37
18,39.37
19,39.37
20,39.37
21,39.37
22,39.37
23,39.37
24,39.37
25,39.37
26,39.37
27,39.37
28,39.37
29,39.37
30,39.37
31,39.37
32,39.37
33,39.37
34,39.37
35,39.37
36,39.37
37,39.37
38,39.37
1,39.38
2,39.37
3,39.37
4,39.38
5,39.37
6,39.37
7,39.37
8,39.37
9,39.37
10,39.37
11,39.37
12,39.38
13,39.37
14,39.37
15,39.37
16,39.37
17,39.37
18,39.37
