step,total_magnetization_bohr_cell
1,42.99
2,42.99
3,42.99
1,42.99
2,42.99
3,42.99
4,42.99
5,42.99
6,42.99
7,42.99
8,42.99
1,42.99
2,42.99
3,42.99
4,42.99
5,42.99
6,42.99
7,42.99
8,42.99
9,42.99
10,42.99
11,42.99
12,42.99
13,42.99
14,42.99
15,42.99
16,42.99
17,42.99
18,42.99
19,42.99
20,42.99
21,42.99
22,42.99
23,42.99
1,42.99
2,42.99
3,42.99
4,42.99
5,42.99
6,42.99
7,42.99
8,42.99
9,42.99
10,42.99
11,42.99
12,42.99
13,42.99
14,42.99
15,42.99
16,42.99
17,42.99
18,42.99
19,42.99
20,42.99
21,42.99
1,42.99
2,42.99
3,42.99
4,42.99
5,42.99
6,42.99
7,42.99
8,42.99
9,42.99
10,42.99
11,42.99
12,42.99
13,42.99
14,42.99
15,42.99
16,42.99
17,42.99
18,42.99
19,42.99
20,42.99
21,42.99
22,42.99
23,42.99
24,42.99
1,42.99
2,42.99
3,42.99
4,42.99
5,42.99
6,42.99
7,42.99
8,42.99
9,42.99
10,42.99
11,42.99
12,42.99
13,42.99
14,42.99
15,42.99
16,42.99
17,42.99
18,42.99
19,42.99
20,42.99
21,42.99
22,42.99
23,42.99
24,42.99
25,42.99
26,42.99
1,43.0
2,43.0
3,43.0
4,43.0
5,43.0
6,43.0
7,43.0
