step,total_force_ry_bohr
1,0.086369
2,0.060164
3,0.036875
4,0.031828
5,0.030624
6,0.026739
7,0.02544
8,0.026835
9,0.028719
10,0.024394
11,0.020125
12,0.019191
13,0.017225
14,0.014754
15,0.011971
16,0.010191
17,0.008872
18,0.008662
19,0.009307
20,0.010067
21,0.010257
22,0.010157
23,0.010287
24,0.010647
25,0.010713
26,0.010154
27,0.009157
28,0.008371
29,0.008265
30,0.008523
31,0.008415
32,0.00766
33,0.007036
34,0.006975
35,0.006951
36,0.006346
37,0.005504
38,0.005078
39,0.004875
40,0.004339
41,0.003614
42,0.003262
43,0.003218
44,0.003185
45,0.003105
46,0.003151
47,0.003427
48,0.003679
49,0.003664
50,0.003445
51,0.003215
52,0.003055
53,0.003047
54,0.003329
55,0.003828
56,0.0042
57,0.004029
58,0.003615
59,0.003619
60,0.003911
61,0.004199
62,0.00422
63,0.004107
64,0.004587
65,0.004866
66,0.004862
67,0.004903
68,0.005191
69,0.006007
70,0.0062
71,0.005974
72,0.005684
