step,total_force_ry_bohr
1,0.086369
2,0.060164
3,0.036875
4,0.031828
5,0.030624
6,0.026739
7,0.02544
8,0.026835
9,0.028719
10,0.024394
11,0.020125
12,0.019191
13,0.017225
14,0.014754
15,0.011971
16,0.010191
17,0.008872
18,0.008662
19,0.009307
20,0.010067
21,0.010257
22,0.010157
23,0.010287
24,0.010647
25,0.010713
26,0.010154
27,0.009157
28,0.008371
29,0.008265
30,0.008523
31,0.008415
32,0.00766
33,0.007036
34,0.006975
35,0.006951
36,0.006346
37,0.005504
38,0.005078
39,0.004875
40,0.004339
41,0.003614
42,0.003262
43,0.003218
44,0.003185
45,0.003105
46,0.003151
47,0.003427
48,0.003679
49,0.003664
50,0.003445
51,0.003215
52,0.003055
53,0.003047
54,0.003329
55,0.003828
56,0.0042
57,0.004029
58,0.003615
59,0.003619
60,0.003911
61,0.004199
62,0.00422
63,0.004107
64,0.004587
65,0.004866
66,0.004862
67,0.004903
68,0.005191
69,0.006007
70,0.0062
71,0.005974
72,0.005684
73,0.005159
74,0.00508
75,0.005081
76,0.005154
77,0.005991
78,0.005612
79,0.005117
80,0.004506
81,0.004031
82,0.003927
83,0.00469
84,0.004834
85,0.004967
86,0.005119
87,0.005494
88,0.006532
89,0.008226
90,0.008653
91,0.008251
92,0.007687
93,0.008452
94,0.00864
95,0.016024
96,0.009726
97,0.009443
98,0.008208
99,0.005018
100,0.004532
101,0.004667
102,0.005562
103,0.004789
104,0.004577
105,0.004596
106,0.005133
107,0.006125
108,0.008022
109,0.008269
110,0.009511
111,0.007191
112,0.007172
113,0.006169
114,0.00602
115,0.006334
116,0.006666
117,0.005347
118,0.004605
119,0.003866
120,0.00366
121,0.004339
122,0.004146
123,0.005256
124,0.004981
125,0.005226
126,0.007622
127,0.008477
128,0.008504
129,0.006217
130,0.005361
131,0.005137
132,0.004807
133,0.005922
134,0.004701
135,0.004251
136,0.004976
137,0.006451
138,0.007322
139,0.008534
140,0.009622
141,0.008669
142,0.007845
143,0.008125
144,0.010048
145,0.010294
146,0.01369
147,0.025496
148,0.018207
149,0.014178
150,0.014534
151,0.01783
152,0.034413
153,0.018432
154,0.0206
155,0.014786
156,0.018512
157,0.017284
158,0.018559
159,0.016774
160,0.016478
161,0.012693
162,0.016621
163,0.014868
164,0.014288
165,0.009898
166,0.015313
167,0.018619
168,0.015145
