step,scf_accuracy_ry
1,29.52698664
2,118.0458977
3,31.83429213
4,119.26611894
5,9.79013206
6,7.96242472
7,6.46382449
8,4.52190052
9,6.48947844
10,1.20899303
11,0.9140261
12,1.85120489
13,0.18674221
14,3.29293178
15,0.96855373
16,0.09524117
17,0.07147539
18,0.05694642
19,0.03608422
20,0.02501778
21,0.01507652
22,0.01423833
23,0.01411678
24,0.01610855
25,0.08062581
26,0.00369466
27,0.00345179
28,0.00287153
29,0.00192767
30,0.00205199
31,0.00100669
32,0.00082608
33,0.00108887
34,0.00075034
35,0.0063574
36,0.00045356
37,0.00037123
38,0.00028305
39,0.00023271
40,0.00019589
41,0.00013375
42,0.00010571
43,0.00013913
44,9.585e-05
45,0.00132427
46,9.7e-05
47,5.389e-05
48,3.935e-05
49,3.164e-05
50,2.459e-05
51,2.032e-05
52,1.813e-05
53,1.832e-05
54,1.719e-05
55,0.00015825
56,1.574e-05
57,6.71e-06
58,5.68e-06
59,5.98e-06
60,3.16e-06
61,2.99e-06
62,2.29e-06
63,1.59e-06
64,1.78e-06
65,9.45e-06
66,1.96e-06
67,6.4e-07
68,6e-07
69,6.6e-07
70,4.5e-07
71,4.2e-07
72,3.1e-07
73,1.6e-07
