step,total_magnetization_bohr_cell
1,28.17
2,77.57
3,61.68
4,39.18
5,34.57
6,32.89
7,30.19
8,31.19
9,27.13
10,22.49
11,19.95
12,17.93
13,19.35
14,17.1
15,16.79
16,16.41
17,15.92
18,15.72
19,15.53
20,15.76
21,15.86
22,15.89
23,16.11
24,16.24
25,16.47
26,16.53
27,16.54
28,16.45
29,16.47
30,16.52
31,16.49
32,16.47
33,16.44
34,16.4
35,16.49
36,16.4
37,16.36
38,16.36
39,16.36
40,16.32
41,16.31
42,16.29
43,16.26
44,16.25
45,16.26
46,16.25
47,16.24
48,16.24
49,16.24
50,16.23
51,16.23
52,16.22
53,16.22
54,16.22
55,16.23
56,16.22
57,16.22
58,16.22
59,16.22
60,16.22
61,16.22
62,16.22
63,16.22
64,16.22
65,16.23
66,16.22
67,16.23
68,16.23
69,16.23
70,16.23
71,16.23
72,16.23
73,16.23
74,16.23
75,16.23
76,16.23
77,16.23
1,16.29
2,15.88
3,16.36
4,16.25
5,16.24
6,16.22
7,16.25
8,16.24
9,16.24
10,16.24
