step,total_magnetization_bohr_cell
1,90.37
2,90.37
3,90.37
4,90.37
5,90.37
1,90.39
2,90.38
3,90.38
4,90.39
5,90.38
6,90.38
7,90.38
8,90.38
9,90.38
10,90.38
11,90.38
12,90.38
13,90.38
14,90.38
15,90.38
16,90.38
1,90.39
2,90.39
3,90.39
4,90.39
5,90.39
6,90.39
7,90.39
8,90.39
9,90.39
10,90.39
11,90.39
12,90.39
13,90.39
14,90.39
15,90.39
16,90.39
17,90.39
18,90.39
19,90.39
20,90.39
21,90.39
22,90.39
23,90.39
24,90.39
25,90.39
26,90.39
27,90.39
1,90.4
2,90.4
3,90.4
4,90.4
5,90.4
6,90.4
7,90.4
8,90.4
9,90.4
10,90.4
11,90.4
12,90.4
13,90.4
14,90.4
15,90.4
16,90.4
17,90.4
18,90.4
19,90.4
20,90.4
21,90.4
22,90.4
23,90.4
24,90.4
25,90.4
26,90.4
1,90.41
2,90.41
3,90.41
4,90.41
5,90.41
6,90.41
7,90.41
8,90.41
9,90.41
10,90.41
11,90.41
12,90.41
13,90.41
14,90.41
15,90.41
16,90.41
17,90.41
18,90.41
19,90.41
20,90.41
21,90.41
22,90.41
23,90.41
24,90.41
25,90.41
26,90.41
27,90.41
28,90.41
29,90.41
30,90.41
1,90.43
2,90.42
3,90.42
4,90.43
5,90.43
6,90.43
7,90.43
8,90.43
9,90.43
10,90.43
