step,energy_ry
1,-3763.7526518
2,-3763.75955394
3,-3763.76746482
4,-3763.7709222
5,-3763.77344504
6,-3763.77590644
7,-3763.77825334
8,-3763.78049785
9,-3763.78239645
10,-3763.7841476
11,-3763.7855204
12,-3763.78689197
13,-3763.78830176
14,-3763.78922273
15,-3763.7898892
16,-3763.79039622
17,-3763.79096281
18,-3763.79156196
19,-3763.7920741
20,-3763.7925507
21,-3763.79301261
22,-3763.79347562
23,-3763.79392748
24,-3763.79438602
25,-3763.79485572
26,-3763.79536107
27,-3763.79590688
28,-3763.79656627
29,-3763.79725975
30,-3763.79828535
31,-3763.79974785
32,-3763.801341
33,-3763.80274989
34,-3763.80475375
35,-3763.80733375
36,-3763.81047402
37,-3763.81348834
