step,total_magnetization_bohr_cell
1,74.41
2,113.0
3,109.07
4,108.34
5,106.96
6,94.17
7,83.48
8,69.3
9,67.27
10,63.93
11,56.73
12,49.79
13,45.82
14,44.13
15,43.82
16,43.24
17,43.11
18,43.04
19,43.04
20,43.04
21,43.05
22,43.05
23,43.05
24,43.05
25,43.05
26,43.04
27,43.02
28,43.02
29,43.02
30,43.01
31,43.01
32,43.01
33,43.0
34,43.0
35,43.0
36,43.0
37,43.0
38,43.0
39,43.0
40,43.0
41,43.0
42,43.0
43,43.0
44,43.0
45,43.0
46,43.0
47,43.0
48,43.0
49,43.0
50,43.0
51,43.0
52,43.0
53,43.0
54,43.0
55,43.0
56,43.0
57,43.0
58,43.0
59,43.0
60,43.0
61,43.0
62,43.0
63,43.0
64,43.0
65,43.0
66,43.0
67,43.0
68,43.0
69,43.0
70,43.0
71,43.0
72,43.0
73,43.0
74,43.0
75,43.0
76,43.0
77,43.0
78,43.0
79,43.0
80,43.0
81,43.0
82,43.0
83,43.0
84,43.0
85,43.0
86,43.0
87,43.0
1,43.0
2,43.0
3,43.0
4,43.0
5,43.0
6,43.0
7,43.0
8,43.0
9,43.0
10,43.0
11,43.0
12,43.0
13,43.0
14,43.0
15,43.0
16,43.0
17,43.0
18,43.0
19,43.0
20,43.0
21,43.0
1,43.0
2,43.0
3,43.0
4,43.0
5,43.0
6,43.0
7,43.0
8,43.0
9,43.0
10,43.0
11,43.0
12,43.0
13,43.0
14,43.0
15,43.0
16,43.0
17,43.0
18,43.0
19,43.0
20,43.0
21,43.0
22,43.0
23,43.0
24,43.0
25,43.0
26,43.0
27,43.0
28,43.0
29,43.0
1,43.0
2,43.0
3,43.0
4,43.0
5,43.0
6,43.0
7,43.0
8,43.0
9,43.0
10,43.0
11,43.0
12,43.0
13,43.0
14,43.0
15,43.0
16,43.0
17,43.0
18,43.0
19,43.0
20,43.0
21,43.0
22,43.0
23,43.0
24,43.0
25,43.0
26,43.0
27,43.0
28,43.0
29,43.0
1,43.0
2,43.0
3,43.0
4,43.0
5,43.0
6,43.0
7,43.0
8,43.0
9,43.0
10,43.0
11,43.0
12,43.0
13,43.0
14,43.0
15,43.0
16,43.0
17,43.0
18,43.0
19,43.0
20,43.0
21,43.0
22,43.0
23,43.0
24,43.0
25,43.0
26,43.0
27,43.0
1,43.0
2,43.0
3,43.0
4,43.0
5,43.0
6,43.0
7,43.0
8,43.0
9,43.0
10,43.0
11,43.0
12,43.0
13,43.0
14,43.0
15,43.0
16,43.0
17,43.0
18,43.0
19,43.0
20,43.0
21,43.0
22,43.0
23,43.0
24,43.0
25,43.0
26,43.0
27,43.0
28,43.0
29,43.0
1,43.0
2,43.0
3,43.0
4,43.0
5,43.0
6,43.0
7,43.0
8,43.0
9,43.0
10,43.0
11,43.0
12,43.0
13,43.0
14,43.0
15,43.0
16,43.0
17,43.0
18,43.0
19,43.0
20,43.0
21,43.0
22,43.0
23,43.0
24,43.0
25,43.0
26,43.0
27,43.0
28,43.0
29,43.0
1,43.0
2,43.0
3,43.0
4,43.0
5,43.0
6,43.0
7,43.0
8,43.0
9,43.0
10,43.0
11,43.0
12,43.0
13,43.0
14,43.0
15,43.0
16,43.0
17,43.0
18,43.0
19,43.0
20,43.0
21,43.0
22,43.0
23,43.0
24,43.0
25,43.0
26,43.0
27,43.0
28,43.0
29,43.0
30,43.0
31,43.0
32,43.0
33,43.0
34,43.0
1,43.0
2,43.0
3,43.0
4,43.0
5,43.0
6,43.0
7,43.0
8,43.0
9,43.0
10,43.0
11,43.0
12,43.0
13,43.0
14,43.0
15,43.0
16,43.0
17,43.0
18,43.0
19,43.0
20,43.0
21,43.0
22,43.0
23,43.0
24,43.0
25,43.0
26,43.0
27,43.0
28,43.0
29,43.0
30,43.0
1,43.0
2,43.0
3,43.0
4,43.0
5,43.0
6,43.0
7,43.0
8,43.0
9,43.0
10,43.0
11,43.0
12,43.0
13,43.0
14,43.0
15,43.0
16,43.0
17,43.0
18,43.0
19,43.0
20,43.0
21,43.0
22,43.0
23,43.0
24,43.0
25,43.0
26,43.0
27,43.0
28,43.0
29,43.0
30,43.0
31,43.0
1,43.0
2,43.0
3,43.0
4,43.0
5,43.0
6,43.0
7,43.0
8,43.0
9,43.0
10,43.0
11,43.0
12,43.0
13,43.0
14,43.0
15,43.0
16,43.0
17,43.0
18,43.0
19,43.0
20,43.0
21,43.0
22,43.0
23,43.0
24,43.0
25,43.0
26,43.0
27,43.0
28,43.0
29,43.0
30,43.0
1,43.0
2,43.0
3,43.0
4,43.0
5,43.0
6,43.0
7,43.0
8,43.0
9,43.0
10,43.0
11,43.0
12,43.0
13,43.0
14,43.0
15,43.0
16,43.0
17,43.0
18,43.0
19,43.0
20,43.0
21,43.0
22,43.0
23,43.0
24,43.0
25,43.0
26,43.0
27,43.0
28,43.0
29,43.0
30,43.0
31,43.0
32,43.0
33,43.0
34,43.0
35,43.0
1,43.0
2,43.0
3,43.0
4,43.0
5,43.0
6,43.0
7,43.0
8,43.0
9,43.0
10,43.0
11,43.0
12,43.0
13,43.0
14,43.0
15,43.0
16,43.0
17,43.0
18,43.0
19,43.0
20,43.0
21,43.0
22,43.0
23,43.0
24,43.0
25,43.0
26,43.0
27,43.0
28,43.0
29,43.0
30,43.0
31,43.0
32,43.0
33,43.0
1,43.0
2,43.0
3,43.0
4,43.0
5,43.0
6,43.0
7,43.0
8,43.0
9,43.0
10,43.0
11,43.0
12,43.0
13,43.0
14,43.0
15,43.0
16,43.0
17,43.0
18,43.0
19,43.0
20,43.0
21,43.0
22,43.0
23,43.0
24,43.0
25,43.0
26,43.0
27,43.0
28,43.0
29,43.0
30,43.0
31,43.0
32,43.0
33,43.0
34,43.0
35,43.0
36,43.0
37,43.0
1,43.0
2,43.0
3,43.0
4,43.0
5,43.0
6,43.0
7,43.0
8,43.0
9,43.0
10,43.0
11,43.0
12,43.0
13,43.0
14,43.0
15,43.0
16,43.0
17,43.0
18,43.0
19,43.0
20,43.0
21,43.0
22,43.0
23,43.0
24,43.0
25,43.0
26,43.0
27,43.0
28,43.0
29,43.0
30,43.0
31,43.0
32,43.0
33,43.0
34,43.0
35,43.0
36,43.0
37,43.0
1,43.0
2,43.0
3,43.0
4,43.0
5,43.0
6,43.0
7,43.0
8,43.0
9,43.0
10,43.0
11,43.0
12,43.0
13,43.0
14,43.0
15,43.0
16,43.0
17,43.0
18,43.0
19,43.0
20,43.0
21,43.0
22,43.0
23,43.0
24,43.0
25,43.0
26,43.0
27,43.0
28,43.0
29,43.0
30,43.0
31,43.0
32,43.0
33,43.0
34,43.0
1,43.0
2,43.0
3,43.0
4,43.0
5,43.0
6,43.0
7,43.0
8,43.0
9,43.0
10,43.0
11,43.0
12,43.0
13,43.0
14,43.0
15,43.0
16,43.0
17,43.0
18,43.0
19,43.0
20,43.0
21,43.0
22,43.0
23,43.0
24,43.0
25,43.0
26,43.0
27,43.0
28,43.0
29,43.0
30,43.0
31,43.0
32,43.0
33,43.0
34,43.0
35,43.0
1,43.0
2,43.0
3,43.0
4,43.0
5,43.0
6,43.0
7,43.0
8,43.0
9,43.0
10,43.0
11,43.0
12,43.0
13,43.0
14,43.0
15,43.0
16,43.0
17,43.0
18,43.0
19,43.0
20,43.0
21,43.0
22,43.0
23,43.0
24,43.0
25,43.0
26,43.0
27,43.0
28,43.0
29,43.0
30,43.0
31,43.0
32,43.0
33,43.0
34,43.0
1,43.0
2,43.0
3,43.0
4,43.0
5,43.0
6,43.0
7,43.0
8,43.0
9,43.0
10,43.0
11,43.0
12,43.0
13,43.0
14,43.0
15,43.0
16,43.0
17,43.0
18,43.0
19,43.0
20,43.0
21,43.0
22,43.0
23,43.0
24,43.0
25,43.0
26,43.0
27,43.0
28,43.0
29,43.0
30,43.0
31,43.0
32,43.0
33,43.0
1,43.0
2,43.0
