step,scf_accuracy_ry
1,111.02369816
2,119.78950947
3,45.60020254
4,22.66946958
5,26.92888098
6,22.52269481
7,14.82312209
8,7.94115094
9,6.84571573
10,6.72247831
11,3.93097807
12,5.20348763
13,1.84615969
14,0.75475001
15,1.36048282
16,0.55302615
17,0.16909704
18,0.10260187
19,0.13521711
20,0.06976385
21,0.07019894
22,0.03182577
23,0.03488101
24,0.02676498
25,0.02387028
26,0.03511798
27,0.00579576
28,0.00501968
29,0.00632346
30,0.00309038
31,0.00359653
32,0.00230377
33,0.00106254
34,0.00191975
35,0.00069572
36,0.00046357
37,0.00034991
38,0.00038274
39,0.00025766
40,0.0003387
41,0.00017414
42,0.00025679
43,0.00010108
44,8.44e-05
45,7.837e-05
46,5.89e-05
47,6.771e-05
48,4.215e-05
49,5.695e-05
50,4.052e-05
51,4.204e-05
52,3.762e-05
53,3.949e-05
54,2.088e-05
55,2.705e-05
56,1.607e-05
57,1.847e-05
58,1.558e-05
59,2.14e-05
60,1.873e-05
61,1.332e-05
62,8.48e-06
63,1.218e-05
64,5.36e-06
65,6.88e-06
66,3.57e-06
67,4.46e-06
68,3.02e-06
69,3.42e-06
70,3.03e-06
71,2.23e-06
72,1.39e-06
73,1.81e-06
74,1.17e-06
75,1.36e-06
76,9e-07
77,7.2e-07
78,7.9e-07
79,7.1e-07
80,7.4e-07
81,5.3e-07
82,3.8e-07
83,6.5e-07
84,3.6e-07
85,3.1e-07
86,2.6e-07
87,1.8e-07
1,0.00039514
2,0.00289632
3,0.00014162
4,0.00012909
5,0.00012747
6,0.00010847
7,4.247e-05
8,1.5e-05
9,1.095e-05
10,1.359e-05
11,7.04e-06
12,3.56e-06
13,7.06e-06
14,1.36e-06
15,7.8e-07
16,1.04e-06
17,8e-07
18,7.7e-07
19,4.4e-07
20,2.5e-07
21,1.6e-07
1,0.00076869
2,0.00260647
3,0.00047635
4,0.00038134
5,0.00033975
6,0.00030163
7,0.00010962
8,6.935e-05
9,3.961e-05
10,3.816e-05
11,3.144e-05
12,1.266e-05
13,2.863e-05
14,6.43e-06
15,3.05e-06
16,3.46e-06
17,4.12e-06
18,2.56e-06
19,9.4e-07
20,8.7e-07
21,3.9e-07
22,5.8e-07
23,2.3e-07
24,1e-07
25,1.3e-07
26,7e-08
27,8e-08
28,3e-08
29,1e-08
1,0.00043987
2,0.00057471
3,0.00039528
4,0.00030626
5,0.00027189
6,8.92e-05
7,5.45e-05
8,4.513e-05
9,2.738e-05
10,1.569e-05
11,2.388e-05
12,8.53e-06
13,1.105e-05
14,4.51e-06
15,2.13e-06
16,2.24e-06
17,2.63e-06
18,2.85e-06
19,4.3e-07
20,3.6e-07
21,6.2e-07
22,2.9e-07
23,4.1e-07
24,1.2e-07
25,8e-08
26,6e-08
27,4e-08
28,3e-08
29,2e-08
1,0.00014144
2,0.00056755
3,8.307e-05
4,7.626e-05
5,5.42e-05
6,2.886e-05
7,2.097e-05
8,1.086e-05
9,7.32e-06
10,7.29e-06
11,5.39e-06
12,1.7e-06
13,4.41e-06
14,9.2e-07
15,4.3e-07
16,4.7e-07
17,3.5e-07
18,2.7e-07
19,1.7e-07
20,1.3e-07
21,1.2e-07
22,9e-08
23,6e-08
24,6e-08
25,2e-08
26,2e-08
27,1e-08
1,0.00015196
2,0.00034986
3,0.00011232
4,9.03e-05
5,7.776e-05
6,4.737e-05
7,2.169e-05
8,1.227e-05
9,8.52e-06
10,5.88e-06
11,9.99e-06
12,2.52e-06
13,7.47e-06
14,8.7e-07
15,5.8e-07
16,6.5e-07
17,6.2e-07
18,7.9e-07
19,1.9e-07
20,1.5e-07
21,2.3e-07
22,1.3e-07
23,4e-08
24,2e-08
25,3e-08
26,1e-08
27,1e-08
28,9e-09
29,6.7e-09
1,0.00019995
2,0.00091304
3,0.00011153
4,9.054e-05
5,0.00015336
6,3.345e-05
7,1.671e-05
8,1.166e-05
9,7.48e-06
10,7.32e-06
11,5.87e-06
