step,total_magnetization_bohr_cell
1,28.2
2,73.55
3,65.72
4,42.72
5,34.92
6,32.83
7,30.07
8,27.97
9,25.03
10,23.66
11,20.47
12,19.13
13,18.41
14,17.86
15,17.74
16,17.17
17,17.03
18,16.42
19,16.27
20,16.2
21,16.17
22,16.29
23,16.4
24,16.27
25,16.3
26,16.31
27,16.42
28,16.38
29,16.39
30,16.43
31,16.43
32,16.47
33,16.5
34,16.49
35,16.5
36,16.51
37,16.54
38,16.53
39,16.54
40,16.56
41,16.55
42,16.57
43,16.57
44,16.57
45,16.57
46,16.57
47,16.58
48,16.57
49,16.57
50,16.57
51,16.57
52,16.57
53,16.57
54,16.56
55,16.56
56,16.56
57,16.56
58,16.55
59,16.55
60,16.55
61,16.55
62,16.55
63,16.55
64,16.54
65,16.54
66,16.54
67,16.54
68,16.54
69,16.54
70,16.54
71,16.54
72,16.54
73,16.54
74,16.54
75,16.54
76,16.54
77,16.54
78,16.54
79,16.54
80,16.54
81,16.54
82,16.54
83,16.54
84,16.54
85,16.54
86,16.54
87,16.54
88,16.54
89,16.54
1,16.53
2,16.64
3,16.5
4,16.56
5,16.52
6,16.55
7,16.54
8,16.54
9,16.54
10,16.54
11,16.54
12,16.54
13,16.55
14,16.54
15,16.54
16,16.54
17,16.54
18,16.54
19,16.54
20,16.54
21,16.54
22,16.54
23,16.54
24,16.54
25,16.54
26,16.54
27,16.54
1,16.54
2,16.52
3,16.56
4,16.47
5,16.53
6,16.54
7,16.53
8,16.53
9,16.54
10,16.53
11,16.53
12,16.54
13,16.53
14,16.54
15,16.53
16,16.53
17,16.53
18,16.53
19,16.53
20,16.53
21,16.53
22,16.53
23,16.53
24,16.53
25,16.53
26,16.53
27,16.53
28,16.53
1,16.53
2,16.52
3,16.58
4,16.47
5,16.53
6,16.54
7,16.53
8,16.53
9,16.53
10,16.53
11,16.53
12,16.53
13,16.52
14,16.53
15,16.53
16,16.53
17,16.53
18,16.53
19,16.53
20,16.53
21,16.53
22,16.53
23,16.53
24,16.53
25,16.53
26,16.53
27,16.53
1,16.52
2,16.57
3,16.44
4,16.54
5,16.51
6,16.54
7,16.52
8,16.52
9,16.52
10,16.52
11,16.52
12,16.52
13,16.53
14,16.52
15,16.52
16,16.52
17,16.52
18,16.52
19,16.52
20,16.52
21,16.52
22,16.52
23,16.52
24,16.52
25,16.52
26,16.52
27,16.52
28,16.52
1,16.51
2,16.56
3,16.37
4,16.53
5,16.5
6,16.53
7,16.51
8,16.51
9,16.51
10,16.51
11,16.51
12,16.51
13,16.51
14,16.52
15,16.51
16,16.51
17,16.51
18,16.51
19,16.51
20,16.51
21,16.51
22,16.51
23,16.51
24,16.51
25,16.51
26,16.51
27,16.51
28,16.51
29,16.51
30,16.51
31,16.51
1,16.5
2,16.57
3,16.44
4,16.5
5,16.5
6,16.52
7,16.5
8,16.5
9,16.5
10,16.5
11,16.5
12,16.5
13,16.51
14,16.5
15,16.5
16,16.5
17,16.5
18,16.5
19,16.5
20,16.5
21,16.5
22,16.5
23,16.5
24,16.5
25,16.5
26,16.5
27,16.5
28,16.5
29,16.5
30,16.5
1,16.49
2,16.57
3,16.47
4,16.49
5,16.49
6,16.51
7,16.49
8,16.49
9,16.49
10,16.49
11,16.5
12,16.49
13,16.51
14,16.49
15,16.49
16,16.49
17,16.49
18,16.49
19,16.49
20,16.49
21,16.49
22,16.49
23,16.49
24,16.49
25,16.49
26,16.49
27,16.49
28,16.49
1,16.48
2,16.59
3,16.47
4,16.49
5,16.49
6,16.5
7,16.49
8,16.49
9,16.49
10,16.49
11,16.49
12,16.49
13,16.5
14,16.49
15,16.49
16,16.49
17,16.49
18,16.49
19,16.49
20,16.49
21,16.49
22,16.49
23,16.49
24,16.49
25,16.49
26,16.49
27,16.49
28,16.49
29,16.49
30,16.49
1,16.49
2,16.53
3,16.47
4,16.5
5,16.49
6,16.5
7,16.49
8,16.49
9,16.49
10,16.49
11,16.49
12,16.49
13,16.5
14,16.49
15,16.49
16,16.49
17,16.49
18,16.49
19,16.49
20,16.49
21,16.49
22,16.49
23,16.49
24,16.49
25,16.49
1,16.49
2,16.57
3,16.48
4,16.48
5,16.49
6,16.5
7,16.49
8,16.5
9,16.5
10,16.5
11,16.5
12,16.49
13,16.5
14,16.5
15,16.49
16,16.5
17,16.5
18,16.5
19,16.5
20,16.5
21,16.5
22,16.5
23,16.49
24,16.5
25,16.5
26,16.5
27,16.5
1,16.49
2,16.52
3,16.43
4,16.52
5,16.49
6,16.5
7,16.5
8,16.5
9,16.5
10,16.5
11,16.5
12,16.5
13,16.5
14,16.5
15,16.5
16,16.5
17,16.5
18,16.5
19,16.5
20,16.5
21,16.5
22,16.5
23,16.5
24,16.5
25,16.5
26,16.5
27,16.5
28,16.5
29,16.5
1,16.5
2,16.49
3,16.54
4,16.42
5,16.52
6,16.49
7,16.5
8,16.49
9,16.5
10,16.5
11,16.5
12,16.5
13,16.5
14,16.5
15,16.49
16,16.5
17,16.5
18,16.5
19,16.5
20,16.5
21,16.5
22,16.5
23,16.5
24,16.5
25,16.5
26,16.5
27,16.5
1,16.5
2,16.46
3,16.58
4,16.5
5,16.5
6,16.49
7,16.51
8,16.49
9,16.5
10,16.5
11,16.5
12,16.5
13,16.49
14,16.5
15,16.5
16,16.5
17,16.5
18,16.5
19,16.5
20,16.5
21,16.5
22,16.5
23,16.5
24,16.5
25,16.5
26,16.5
27,16.5
28,16.5
29,16.5
30,16.5
31,16.5
1,16.5
2,16.45
3,16.6
4,16.48
5,16.51
6,16.49
7,16.5
8,16.5
9,16.5
10,16.5
11,16.5
12,16.5
13,16.5
14,16.5
15,16.5
16,16.5
17,16.5
18,16.5
19,16.5
20,16.5
21,16.5
22,16.5
23,16.5
24,16.5
25,16.5
26,16.5
27,16.5
28,16.5
29,16.5
30,16.5
1,16.51
2,16.46
3,16.63
4,16.5
5,16.51
6,16.49
7,16.51
8,16.5
9,16.51
10,16.5
11,16.5
12,16.51
13,16.51
14,16.51
15,16.5
16,16.5
17,16.5
18,16.5
19,16.51
20,16.5
21,16.5
22,16.51
23,16.51
24,16.51
25,16.5
26,16.51
27,16.51
28,16.51
29,16.5
30,16.51
