step,scf_accuracy_ry
1,152.76486264
2,5519.68143722
3,67.91200564
4,12.81144554
5,51.9897834
6,27.92311946
7,13.62396284
8,8.09692219
9,3.06412793
10,1.89335629
11,2.7426885
12,1.57336298
13,0.28551236
14,0.19695325
15,0.21951214
16,0.07081119
17,0.05977744
18,0.03597406
19,0.0490999
20,0.01014174
21,0.0164297
22,0.00916183
23,0.00588115
24,0.00673429
25,0.00318185
26,0.00168418
27,0.00112062
28,0.00124399
29,0.00233096
30,0.0011698
31,0.00067849
32,0.00079128
33,0.00042835
34,0.00044833
35,0.00036093
36,0.00021075
37,0.00019727
38,0.00017344
39,0.00026719
40,0.000229
41,0.00011996
42,0.00014532
43,9.103e-05
44,6.755e-05
45,7.765e-05
46,4.281e-05
47,4.135e-05
48,3.992e-05
49,5.232e-05
50,9.123e-05
51,2.034e-05
52,2.233e-05
53,1.42e-05
54,1.033e-05
55,1.579e-05
56,6.69e-06
57,6.49e-06
58,5.5e-06
59,6.78e-06
60,1.262e-05
61,2.6e-06
62,3.03e-06
63,3.05e-06
64,2.18e-06
65,3.36e-06
66,1.64e-06
67,1.46e-06
68,1.12e-06
69,1.19e-06
70,2.4e-06
71,1.09e-06
72,1.36e-06
73,1.67e-06
74,7e-07
75,9.4e-07
76,5.9e-07
77,4.5e-07
78,3.3e-07
79,4.4e-07
80,6.1e-07
81,7.3e-07
82,2.6e-07
83,5.9e-07
84,1.1e-07
85,1.1e-07
86,1.4e-07
87,1.1e-07
88,6e-08
1,0.00907483
2,0.03717686
3,0.01060442
4,0.00851302
5,0.00339083
6,0.0038695
7,0.00068309
8,0.00058992
9,0.000276
10,0.0002562
11,8.592e-05
12,4.041e-05
13,0.00021539
14,3.282e-05
15,5.628e-05
16,1.423e-05
17,8.61e-06
18,4.49e-06
19,3.8e-06
20,2.57e-06
21,4.65e-06
22,6.3e-07
23,4.6e-07
24,2.55e-06
25,1.3e-07
26,9e-08
1,0.00664498
2,0.01683175
3,0.00793543
4,0.01246519
5,0.0018026
6,0.00126131
7,0.00044819
8,0.00042649
9,0.00046438
10,0.00022818
11,4.51e-05
12,3.828e-05
13,0.00013546
14,3.029e-05
15,3.322e-05
16,1.503e-05
17,2.184e-05
18,6.01e-06
19,1.71e-06
20,1.18e-06
21,1.1e-06
22,5.4e-07
23,4.9e-07
24,6.3e-07
25,1.6e-07
26,9e-08
27,1.1e-07
28,6e-08
1,0.00485319
2,0.00446366
3,0.01287053
4,0.01111445
5,0.00152613
6,0.00117683
7,0.00031986
8,0.000302
9,0.00027829
10,0.00026218
11,3.275e-05
12,2.846e-05
13,2.552e-05
14,1.865e-05
15,2.4e-05
16,9.48e-06
17,1.991e-05
18,5.25e-06
19,1.22e-06
20,7.9e-07
21,6.2e-07
22,7.4e-07
23,3.3e-07
24,4.3e-07
25,2.3e-07
26,1.7e-07
27,1.5e-07
28,9e-08
29,2e-08
1,0.0025994
2,0.00314873
3,0.00516479
4,0.00386069
5,0.00123987
6,0.00100888
7,0.00017426
8,0.00016108
9,0.00013047
10,6.45e-05
11,3.098e-05
12,1.834e-05
13,0.00010959
14,1.269e-05
15,1.358e-05
16,9.25e-06
17,3.72e-06
18,2.42e-06
19,2e-06
20,5e-07
21,9.3e-07
22,2.7e-07
23,1.9e-07
24,6.2e-07
25,2.4e-07
26,6e-08
27,1.1e-07
28,5e-08
29,2e-08
1,0.0052262
2,0.01485761
3,0.00635582
4,0.00611837
5,0.00265958
6,0.00210562
7,0.00033295
8,0.00030473
9,0.00023109
10,0.00011039
11,6.209e-05
12,4.765e-05
13,0.00039012
14,2.595e-05
15,2.459e-05
16,1.99e-05
17,6.49e-06
18,7.8e-06
19,3.42e-06
20,1.2e-06
21,1.02e-06
22,7.9e-07
23,1.32e-06
24,1.13e-06
25,2e-07
26,3.5e-07
27,1.7e-07
28,1e-07
29,3e-08
30,4e-08
31,2e-08
1,0.00392457
2,0.01316471
3,0.00438821
4,0.00490147
5,0.00195545
6,0.00139605
7,0.00025978
8,0.00022014
9,0.00016576
10,7.582e-05
11,3.62e-05
12,3.301e-05
13,0.00013642
14,1.469e-05
15,2.947e-05
16,3.05e-06
17,6.33e-06
18,2.2e-06
19,1.49e-06
20,9.2e-07
21,4.3e-07
22,7.1e-07
23,3.4e-07
24,3.9e-07
25,1.2e-07
26,1.2e-07
27,4e-08
28,1.2e-07
29,2e-08
1,0.00258309
2,0.00598131
3,0.00308585
4,0.00319567
5,0.00120888
6,0.00097592
7,0.00015886
8,0.000168
9,0.0001023
10,8.972e-05
11,3.041e-05
12,2.706e-05
