step,total_magnetization_bohr_cell
1,27.68
2,64.94
3,66.04
4,44.1
5,34.42
6,32.16
7,29.5
8,27.07
9,24.4
10,23.49
11,20.73
12,19.06
13,18.14
14,18.59
15,17.97
16,17.33
17,16.75
18,16.15
19,15.94
20,15.89
21,15.88
22,16.06
23,16.26
24,16.34
25,16.34
26,16.47
27,16.51
28,16.49
29,16.58
30,16.62
31,16.58
32,16.61
33,16.62
34,16.63
35,16.62
36,16.63
37,16.62
38,16.6
39,16.62
40,16.63
41,16.59
42,16.59
43,16.59
44,16.58
45,16.57
46,16.56
47,16.54
48,16.52
49,16.54
50,16.53
51,16.51
52,16.5
53,16.5
54,16.48
55,16.48
56,16.48
57,16.47
58,16.46
59,16.46
60,16.46
61,16.45
62,16.45
63,16.45
64,16.44
65,16.44
66,16.44
67,16.44
68,16.43
69,16.44
70,16.43
71,16.43
72,16.43
73,16.43
74,16.43
75,16.43
76,16.43
77,16.43
78,16.43
79,16.44
80,16.44
81,16.43
82,16.44
83,16.44
84,16.44
85,16.44
86,16.44
87,16.45
88,16.45
89,16.45
90,16.45
91,16.45
92,16.45
93,16.45
94,16.45
1,16.48
2,16.15
3,16.54
4,16.46
5,16.45
6,16.43
7,16.46
8,16.45
9,16.45
10,16.45
11,16.45
12,16.46
13,16.43
14,16.45
15,16.46
16,16.45
17,16.45
18,16.45
19,16.45
20,16.45
21,16.45
22,16.45
23,16.46
24,16.45
25,16.45
26,16.45
27,16.45
28,16.45
1,16.48
2,16.28
3,16.53
4,16.45
5,16.47
6,16.43
7,16.46
8,16.46
9,16.46
10,16.46
11,16.46
12,16.46
13,16.43
14,16.46
15,16.46
16,16.46
17,16.46
18,16.46
19,16.46
20,16.46
21,16.46
22,16.46
23,16.46
24,16.46
25,16.46
26,16.46
27,16.46
1,16.47
2,16.37
3,16.52
4,16.41
5,16.46
6,16.46
7,16.46
8,16.46
9,16.46
10,16.46
11,16.46
12,16.46
13,16.45
14,16.46
15,16.46
16,16.46
17,16.46
18,16.46
19,16.46
20,16.46
21,16.46
22,16.46
23,16.46
24,16.46
25,16.46
26,16.46
1,16.46
2,16.47
3,16.41
4,16.54
5,16.45
6,16.46
7,16.46
8,16.46
9,16.46
10,16.46
11,16.46
12,16.46
13,16.46
14,16.46
15,16.46
16,16.46
17,16.46
18,16.46
19,16.46
20,16.46
21,16.46
22,16.46
23,16.46
24,16.46
25,16.46
26,16.46
27,16.46
1,16.45
2,16.55
3,16.43
4,16.45
5,16.45
6,16.46
7,16.45
8,16.46
9,16.46
10,16.46
11,16.46
12,16.46
13,16.45
14,16.46
15,16.46
16,16.46
17,16.46
18,16.46
19,16.46
20,16.46
21,16.46
22,16.46
23,16.46
24,16.46
25,16.46
26,16.46
1,16.45
2,16.53
3,16.42
4,16.47
5,16.44
6,16.46
7,16.45
8,16.46
9,16.46
10,16.46
11,16.46
12,16.46
13,16.45
14,16.46
15,16.46
16,16.46
17,16.46
18,16.46
19,16.46
20,16.46
21,16.46
22,16.46
23,16.46
24,16.46
25,16.46
26,16.46
27,16.46
28,16.46
1,16.45
2,16.51
3,16.39
4,16.46
5,16.44
6,16.46
7,16.45
8,16.46
9,16.45
10,16.45
11,16.45
12,16.45
13,16.46
14,16.45
15,16.45
16,16.45
17,16.45
18,16.45
19,16.45
20,16.45
21,16.45
22,16.45
23,16.45
24,16.45
25,16.45
26,16.45
1,16.45
2,16.47
3,16.32
4,16.56
5,16.43
6,16.46
7,16.45
8,16.45
9,16.45
10,16.45
11,16.45
12,16.45
13,16.45
14,16.44
15,16.45
16,16.44
17,16.45
18,16.45
19,16.45
20,16.45
21,16.45
22,16.45
23,16.45
24,16.45
25,16.45
26,16.45
27,16.45
28,16.45
29,16.45
30,16.45
31,16.45
1,16.44
2,16.42
3,16.55
