step,total_force_ry_bohr
78,0.141458
32,0.098897
47,0.081313
45,0.072116
39,0.065337
36,0.066192
38,0.065566
37,0.062349
45,0.063505
40,0.062503
46,0.055921
43,0.05098
40,0.042769
41,0.034997
37,0.033427
40,0.031508
42,0.024987
39,0.021256
41,0.019581
38,0.017505
36,0.012084
37,0.010302
32,0.011539
41,0.014239
45,0.01773
38,0.016795
38,0.015005
39,0.015119
37,0.016134
35,0.017551
36,0.028097
42,0.017807
37,0.016927
35,0.016717
34,0.01915
38,0.02514
40,0.028065
38,0.042888
43,0.030289
35,0.021439
33,0.016985
34,0.030764
37,0.02214
33,0.020735
38,0.017816
38,0.021671
42,0.024263
37,0.028705
37,0.009978
29,0.008031
35,0.007946
35,0.008255
36,0.00856
35,0.0085
43,0.008132
35,0.007668
35,0.007295
35,0.007606
38,0.008752
38,0.010019
39,0.011555
41,0.013745
41,0.017758
45,0.024658
42,0.023698
41,0.033213
48,0.040441
39,0.029076
41,0.023559
45,0.019726
41,0.012397
38,0.00893
38,0.008849
41,0.009467
48,0.011731
43,0.014616
51,0.016642
49,0.029654
38,0.013195
30,0.009959
42,0.012148
48,0.013024
48,0.014881
48,0.018709
45,0.017745
47,0.033195
56,0.042068
46,0.02138
31,0.022555
42,0.020704
38,0.024451
35,0.027221
46,0.029165
47,0.027905
41,0.029868
47,0.029961
42,0.037136
41,0.067617
52,0.029319
36,0.023479
39,0.016825
36,0.019064
41,0.013445
38,0.012547
45,0.011963
38,0.009258
40,0.011185
40,0.010062
46,0.008715
41,0.006791
37,0.006321
36,0.007098
36,0.007509
38,0.008248
41,0.009355
44,0.011082
47,0.013731
49,0.018532
50,0.029429
57,0.051802
58,0.064784
49,0.043115
58,0.095401
59,0.178419
56,0.043968
38,0.040554
32,0.025214
46,0.028953
48,0.039864
49,0.032843
45,0.02243
46,0.020181
41,0.021328
40,0.017862
39,0.015133
41,0.012491
46,0.011623
46,0.011049
42,0.011992
48,0.015649
48,0.017313
45,0.008062
41,0.006446
39,0.006393
41,0.005993
45,0.007588
38,0.006143
35,0.005075
32,0.003964
30,0.005012
36,0.005721
41,0.006347
37,0.006857
40,0.007484
48,0.009346
44,0.011722
46,0.010119
38,0.013827
49,0.016194
40,0.012556
40,0.005139
37,0.00547
41,0.005605
38,0.005949
37,0.006006
43,0.0072
60,0.010288
51,0.018023
46,0.009552
46,0.032305
38,0.015857
50,0.054557
48,0.016506
33,0.011303
39,0.008771
