step,total_magnetization_bohr_cell
1,88.39
2,95.33
3,91.33
4,87.91
5,82.71
6,66.43
7,61.1
8,53.54
9,48.87
10,45.89
11,42.72
12,41.21
13,40.91
14,40.75
15,40.38
16,40.1
17,39.55
18,39.41
19,39.49
20,39.36
21,39.25
22,39.23
23,39.17
24,39.12
25,39.11
26,39.11
27,39.11
28,39.09
29,39.1
30,39.12
31,39.12
32,39.13
33,39.14
34,39.15
35,39.16
36,39.17
37,39.18
38,39.18
39,39.19
40,39.2
41,39.21
42,39.21
43,39.22
44,39.22
45,39.22
46,39.23
47,39.23
48,39.23
49,39.23
50,39.23
51,39.23
52,39.23
53,39.23
54,39.23
55,39.23
56,39.23
57,39.23
58,39.23
59,39.22
60,39.22
61,39.22
62,39.22
63,39.21
64,39.21
65,39.21
66,39.21
67,39.21
68,39.21
69,39.21
70,39.21
71,39.2
72,39.2
73,39.2
74,39.2
75,39.2
76,39.2
77,39.2
78,39.2
79,39.2
80,39.2
81,39.2
82,39.2
83,39.2
84,39.2
85,39.2
86,39.2
1,39.14
2,39.1
3,39.31
4,39.29
5,39.26
6,39.29
7,39.22
8,39.25
9,39.24
10,39.29
11,39.28
12,39.26
13,39.27
14,39.27
15,39.27
16,39.28
17,39.28
18,39.28
19,39.28
20,39.28
21,39.28
22,39.28
23,39.28
24,39.28
25,39.28
26,39.28
27,39.28
28,39.29
29,39.29
30,39.29
31,39.29
32,39.29
33,39.29
34,39.29
35,39.29
36,39.29
37,39.29
38,39.29
39,39.29
40,39.29
41,39.29
42,39.29
43,39.29
44,39.29
45,39.29
46,39.29
1,39.28
2,39.25
3,39.45
4,39.4
5,39.39
6,39.41
7,39.38
8,39.41
9,39.39
10,39.43
11,39.42
12,39.41
13,39.41
14,39.42
15,39.42
16,39.42
17,39.42
18,39.43
19,39.43
20,39.43
21,39.43
22,39.43
23,39.44
24,39.44
25,39.44
26,39.44
27,39.44
28,39.44
29,39.44
30,39.44
31,39.44
32,39.44
33,39.44
34,39.44
35,39.45
36,39.45
37,39.45
38,39.45
39,39.45
40,39.45
41,39.45
42,39.45
43,39.45
44,39.45
45,39.45
46,39.45
1,39.46
2,39.51
3,39.58
4,39.53
5,39.55
6,39.57
7,39.55
8,39.58
9,39.56
10,39.57
11,39.58
12,39.57
13,39.57
14,39.58
15,39.58
16,39.59
17,39.59
18,39.59
19,39.59
20,39.59
21,39.59
22,39.6
23,39.6
24,39.6
25,39.6
26,39.6
27,39.6
28,39.6
29,39.61
30,39.61
31,39.61
32,39.61
33,39.61
34,39.61
35,39.61
36,39.61
37,39.61
38,39.61
39,39.61
40,39.61
41,39.61
1,39.63
2,39.62
3,39.71
4,39.69
5,39.7
6,39.75
7,39.73
8,39.76
9,39.73
10,39.75
11,39.76
12,39.74
13,39.75
14,39.76
15,39.76
16,39.77
17,39.77
18,39.77
19,39.77
20,39.77
21,39.78
22,39.78
23,39.78
24,39.78
25,39.78
26,39.78
27,39.78
28,39.78
29,39.78
30,39.79
31,39.79
32,39.79
33,39.79
34,39.79
35,39.79
36,39.79
37,39.79
