step,energy_ry
1,-6194.13931101
2,-6194.69224647
3,-6195.04089259
4,-6195.3445936
5,-6195.50633651
6,-6195.75534116
7,-6195.98643588
8,-6196.09587919
9,-6196.19726253
10,-6196.29081674
11,-6196.38066778
12,-6196.49430538
13,-6196.60888353
14,-6196.71177028
15,-6196.79968054
16,-6196.92640572
17,-6197.05964433
18,-6197.16749576
19,-6197.2478903
20,-6197.36713305
21,-6197.48559858
22,-6197.61023333
23,-6197.66571133
24,-6197.77638347
25,-6197.85940566
26,-6197.8966913
27,-6197.94010692
28,-6197.98555294
29,-6198.01425315
30,-6198.03679438
31,-6198.05981623
32,-6198.07965948
33,-6198.09663261
34,-6198.11285632
35,-6198.12715167
36,-6198.13938589
37,-6198.14958765
38,-6198.15961675
39,-6198.16952091
40,-6198.17778898
41,-6198.18427363
42,-6198.19112356
43,-6198.19883396
44,-6198.20654488
45,-6198.2141084
46,-6198.22072099
47,-6198.22695929
48,-6198.232701
49,-6198.23786486
50,-6198.24261427
51,-6198.24715778
52,-6198.25123052
53,-6198.25566586
54,-6198.26031847
55,-6198.2638201
56,-6198.26744197
57,-6198.27070311
58,-6198.27392223
59,-6198.27749085
60,-6198.28145852
61,-6198.28500477
62,-6198.28795797
63,-6198.29061138
64,-6198.29394082
65,-6198.29695579
66,-6198.29973125
67,-6198.30243435
68,-6198.30574671
69,-6198.30926471
70,-6198.31235346
71,-6198.31492561
72,-6198.31736487
73,-6198.31920056
74,-6198.32133267
75,-6198.3228371
76,-6198.32424602
77,-6198.32543817
78,-6198.32680701
79,-6198.32806901
80,-6198.32950301
81,-6198.33103507
82,-6198.3325233
83,-6198.33380563
84,-6198.33501693
85,-6198.33617999
86,-6198.33724313
87,-6198.33831324
